"#","Tag","Patterns","Responses","Context","Context Set","Delete"
"32","how are you","['asdada,asdada']","['asdada,sdadada']","","[]",""
"31","tuition_masters","['how much is the tuition fee for masteral', 'masters', 'doctoral', 'doctorate', 'ma']","[""The course you input is from the Master's Degree Program. The following are the list of tuition fee of each course: \n\n\nâ€¢ Master of Arts in Education - Php 30,465.39 \n\n â€¢ Master of Arts in Teaching - Php 30,465.39\n\nâ€¢ Master of Arts in Psychology - Php 30,465.39\n\nâ€¢ Master of Arts in Psychology - Php 30,465.39\n\nâ€¢ Master in Education - Php 30,465.39\n\nâ€¢ Master in Business Administration ( Executive ) - Php 33,749.85\n\nâ€¢ Master in Business Administration ( Regular) - Php 31,917.77\n\nâ€¢ Master in Engineering Science - Php 33,749.85\n\nâ€¢ Master in Information Systems - Php 31,917.77\n\nâ€¢ Master of Library and Information Science - Php 30,465.39\n\nâ€¢ Master of Public Administration - Php 31,917.77\n\nâ€¢ Master in Accountancy (Non-Thesis/ Industry Track) - Php 31,917.77\n\nâ€¢ Master of Science in Accountancy (With Thesis)\n\nâ€¢ - Php 31,917.77\n\nâ€¢ Master of Science in Construction Management (Executive) - Php 33,749.85\n\nâ€¢  Master of Science in Construction Management ( Regular) - Php 31,917.77\n\nâ€¢ Master of Science in Environmental Science - Php 30,465.39\n\n Master of Science in Mathematics - Php 30,465.39\n\nâ€¢ Master of Science in Biology - Php 30,465.39\n\nâ€¢ Doctor of Business Administration - Php 36,948.79\n\nâ€¢ Doctor of Education - Php 36,948.79\n\nâ€¢ Doctor of Information Technology - Php 36,948.79\n\nâ€¢ Doctor of Philosophy in Multidisciplinary Metropolitan Studies - Php 36,948.79\n\nâ€¢ Master of Science in Dental Education - Php 30,465.39\n\nâ€¢ BSBA (Management)(15 units) Special Degree Program - Php 54,250.65""]","","[]",""
"30","tuition_elementary","['I would like to know how much is the tuition fee for elementary', 'may i know the tuition fee for elementary?', 'elementary', 'grade1', 'grade2', 'grade3', 'grade4', 'grade5', 'grade6', 'grade 1', 'grade 2', 'grade 3', 'grade 4', 'grade 5', 'grade 6', 'grades 1-6', 'primary']","['The basic education you input is from the Elementary Section. The following are the list of tuition fee of each grade: \n\n\nâ€¢ GRADE 1 - Php 40,333.70\n\nâ€¢ GRADE 2 - Php 39,877.00\n\nâ€¢ GRADE 3 - Php 39,877.00\n\nâ€¢ GRADE 4 - Php 40,334.99\n\nâ€¢ GRADE 5 - Php 40,334.99\n\nâ€¢ GRADE 6 - Php 41,321.16']","","[]",""
"29","tuition_senior_high","['I would like to know how much is the tuition fee for senior high school', 'may i know the tuition fee for senior high?', 'senior high', 'shs', 'grade11', 'grade12', 'grade 11', '12', 'grade 11-12', 'eleven', 'twelve', 'stem', 'abm', 'humss', 'gas']","['The course you input is from the Department of Education(Senior Highschool). The following are the full list of the department: \n\n\nâ€¢ GRADE 11 - Php 47,901.42\n\nâ€¢ GRADE 12 - Php 48,750.47']","","[]",""
"28","tuition_junior_high","['I would like to know how much is the tuition fee for junior high school', 'may i know the tuition fee for junir high school?', 'junior', 'grade 7', '8', '9', '10', 'grade 7-10', 'seven', 'eight', 'nine', 'ten', 'grade7', 'grade8', 'grade9', 'grade10', 'jhs', 'high school']","['The course you input is from the Department of Education(Junior Highschool). The following are the full list of the department: \n\n\nâ€¢ GRADE 7 - Php 42,278.31\n\nâ€¢ GRADE 8 - Php 41,821.61\n\n â€¢ GRADE 9 - Php 41,821.61\n\nâ€¢ GRADE 10 - Php 43,033.49']","","[]",""
"27","tuition_education","['I would like to know how much is the tuition fee for education', 'may i know the tuition fee for education?', 'may i know the tuition fee for masteral in education?', 'educ', 'physical education', 'pe', 'exercise sciences major in fitness and sports', 'special needs education - generalist', 'elementary education', 'nutrition and dietetics', 'secondary', 'bped', 'bsned', 'beed', 'bsnd', 'bsed']","['The course you input is from the College of Education. The following are the full list of course: \n\n\nâ€¢ Bachelor of Physical Education (BPEd) (23 units) - Php 42,552.06\n\nâ€¢ Bachelor of Science in Exercise Sciences Major in Fitness and Sports - Php 42,552.06\n\nâ€¢ Bachelor of Special Needs Education - Generalist (BSNEd-Generalist) (23 units) - Php 42,552.06\n\nâ€¢Bachelor of Elementary Education (BEEd) (26 units) - Php 47,222.40\n\nâ€¢Bachelor of Science in Nutrition and Dietetics (BSND) (24 units) - Php 47,312.04\n\nâ€¢Bachelor of Secondary Education (BSEd) (26 units) - Php 47,222.40']","","[]",""
"26","tuition_engineering","['I would like to know how much is the tuition fee for engineering', 'may i know the tuition fee for engineering', 'how much is the tuition fee for engineering', 'how much is the tuition fee for electrical', 'how much is the tuition fee for civil', 'how much is the tuition fee for mechanical', 'engineering', 'eng', 'civil', 'computer engineering', 'electrical', 'mechanical', 'bsce', 'ce', 'cpe', 'ee', 'bscpe', 'bsee', 'bsme', 'civ', 'mech', 'electric', 'engineer']","['The course you input is from the College of Engineering. The following are the full list of course: \n\n\nâ€¢ Bachelors of Science in Civil Engineering (BSCE)(20 Units) - Php 42,276.04\n\nâ€¢ Bachelor of Science in Civil Engineering (BSCE) (24 units) with Bridging Program Php 49,427.09\n\nâ€¢ Bachelor of Science in Computer Engineering (BSCOE) (18units) - Php 39,057.86\n\nâ€¢ Bachelor of Science in Computer Engineering (BSCOE) (22 units) with Bridging Program - Php 46,208.90\n\nâ€¢ Bachelor of Science in Mechanical Engineering (BSME) (19 units) - Php 40,688.68\n\nâ€¢ Bachelor of Science in Mechanical Engineering (BSME) (23 units) with Bridging Program - Php 47,839.73\n\nâ€¢ Bachelor of Science in Electrical Engineering (BSEE) (20 units) - Php 45,170.21\n\nâ€¢ Bachelor of Science in Electrical Engineering (BSEE) (24 units) with Bridging Program - Php 48,745.73']","","[]",""
"25","tuition_accountancy","['I would like to know how much is the tuition fee for accountancy', 'may i know the tuition fee for accountancy?', 'how much is the tuition fee for accountancy', 'how much is the tuition fee for accounting', 'how much is the tuition fee for economics', 'how much is the tuition fee for marketing', 'accountancy', 'management accounting', 'business economics', 'financial', 'marketing', 'bsa', 'bsma', 'bbe', 'be', 'bme', 'bfn', 'fn', 'bmm']","['The course you input is from the College of Business Administration. The following are the full list of course: \n\n\n â€¢ Bachelors of Science in Accountancy (BSA)(26 Units) - Php 55,320.48\n\nâ€¢Bachelor of Science in Management Accounting (BSMA)(26 Units) Php 55,320.48\n\nâ€¢BSBA Major in Business Economics (BBE)(23 Units) - Php 49,929.77\n\nâ€¢BSBA Major in Business Management (BME)(23 units) - Php 47,514.45\n\nâ€¢ BSBA Major in Financial Management (BFN)(23 Units) - Php 47,514.45\n\nâ€¢ BSBA Major in Marketing Management (BMM)(23 Units) - Php 47,514.45']","","[]",""
"24","tuition_ccss","['I would like to know how much is the tuition fee for computer science', 'may i know the tuition fee for computer science?', 'how much is the tuition fee for cs', 'how much is the tuition fee for comsci', 'how much is the tuition fee for is', 'how much is the tuition fee for it', 'how much is the tuition fee for emc', 'ccss', 'comsci', 'computer science', 'cs', 'it', 'information technology', 'emc', 'entertainment and multimedia computing', 'digital animation', 'game development', 'game dev', 'is', 'information systems', 'bsis', 'bsit', 'bsemc']","['The course you input is from the College of Computer Studies and Systems. The following are the full list of course: \n\n\n â€¢ Bachelors of Science in Computer Science (BSCS)(20 Units) - Php 42,419.69\n\nâ€¢Bachelor of Science in Information Technology (BSIT)(20 Units) Php 42,419.69\n\nâ€¢Bachelor of Science in Entertainment and Multimedia Computing with Specialization in Digital Animation (BSEMC-DA)(21 Units) - Php 44,744.52\n\nâ€¢Bachelor of Science in Entertainment and Multimedia Computing with Specialization in Game Development(BSEMC-GD)(21 Units) - Php 44,744.52\n\nBachelor of Science in Information Systems (BSIS)(20 Units) - Php 42,419.69']","","[]",""
"23","tuition_arts_sciences","['how much is the tuition fee for biology', 'how much is the tuition fee for hospitality management', 'how much is the tuition fee for tourism', 'how much is the tuition fee for broadcasting', 'how much is the tuition fee for psychology', 'masteral in psychology', 'arts and sciences', 'cas', 'biology', 'hospitality management', 'legal', 'tourism', 'broadcasting', 'political', 'journalism', 'library', 'english language', 'international studies', 'mathematics', 'bshm', 'bslm', 'bstm', 'bsmb', 'bab', 'baps', 'baj', 'blis', 'baelp', 'bais', 'bsp', 'bsmsba']","['The course you input is from the College of College of Art and Sciences. The following are the list of course: \n\n\n â€¢Bachelor of Science Major in Biology (21 units) - Php 46,396.49\n\nâ€¢ Bachelor of Science in Hospitality Management (20 units) - Php 42,151.16\n\nâ€¢ Bachelor of Science in Legal Management (20 units) - Php 42,151.16\n\nâ€¢Bachelor of Science in Tourism Management (20 units) - Php 42,151.16\n\nâ€¢ Bachelor of Arts in Broadcasting (20 units) - Php 44,614.60\n\nâ€¢  Bachelor of Arts in Political Science (20 units) - Php 42,151.16\n\nâ€¢Bachelor of Arts in Journalism (20 units) - Php 42,151.16\n\nâ€¢ Bachelor of Library and Information Science (20 units) - Php 42,151.16\n\nâ€¢ Bachelor of Arts in English Language Program (20 units) - Php 42,151.16\n\nâ€¢Bachelor of Arts in International Studies (20 units) - Php 42,151.16\n\nâ€¢Bachelor of Science in Psychology (20 units) - Php 42,151.16\n\nâ€¢ Bachelor of Science in Mathematics with Specialization in Business Application - Php 43,938.92']","","[]",""
"22","tuition_medicine","['I would like to know how much is the tuition fee for dentistry', 'may i know the tuition fee for dentistry?', 'dentistry', 'dent', 'medicine', 'med']","['The course you input is from the College of Dentistry. The following are the list of course: \n\n\n â€¢Doctor of Dental Medicine (D.M.D) (25 units) - Php 70,521.17\n\nâ€¢  Doctor of Dental Medicine (D.M.D) (24 units) with Bridging Program - Php 59,922.21\n\nâ€¢ Dental Technology(20 units) -Php 44,028.18, ']","","[]",""
