"#","SOURCE","POSTS","LIKES","DATE CREATED","TIME CREATED","HASHTAGS","LINKS"
"35","@UEUSC_Official","…on possible measures to cater the needs of the students and alumni who are far from the campus considering the restrictions of the pandemic.","0","2021-10-28","09:02:21","[]","[]"
"34","@UEUSC_Official","The new courier service is offered by UE through WExpress for a fixed rate of P200 regardless of the location.   STEPS: 1. Send an email to registrar@ue.edu.ph for the document you wish to claim. Include your student information in the message.","0","2021-10-28","09:03:26","[]","[]"
"33","@UEUSC_Official","2. Wait for the tracking number to be given by the Registrar's Office (https://t.co/NZ6vKgXslX)","0","2021-10-28","09:03:42","[]","['http://www.wwwexpress.com.ph/track-and-trace/']"
"32","@UEUSC_Official","OTHER ACADEMIC RECORDS AVAILABLE FOR DELIVERY: - Certifications - Transcript of Records - Diploma - Other school documents from the Registrar's Office  Pubmat by: Ira Agcaoli","0","2021-10-28","09:03:59","[]","[]"
"31","@UEUSC_Official","📣 HEADS UP, WARRIORS!  Just a few more days before the exams. Classes will resume on November 3, while the Midterm Examinations is on November 4 to 9. https://t.co/woSTJ5LkuG","9","2021-10-30","07:39:39","[]","[]"
"30","@UEUSC_Official","After examination week and pursuant to the granted appeal of USC and UEFA, students and faculty will also be given a two-day academic break as part of the new mental health policy.   Schedule of Academic Break: November 10 to 11","0","2021-10-30","07:39:54","[]","[]"
"29","@UEUSC_Official","Take a rest, breathe deeply, and return stronger! ♥️  #TINDIGMandirigma","0","2021-10-30","07:40:02","['TINDIGMandirigma']","[]"
"28","@UEUSC_Official","𝐀 𝐒𝐏𝐎𝐎𝐊𝐘 𝐂𝐎𝐍𝐆𝐑𝐀𝐓𝐔𝐋𝐀𝐓𝐈𝐎𝐍𝐒 𝐓𝐎 𝐀𝐋𝐋 𝐎𝐔𝐑 𝐖𝐈𝐍𝐍𝐄𝐑𝐒!👻   Pointy hats off to the winners of the USC’s Spooktacular Tiktok Video and Warrior Ghosting Stories! https://t.co/UnVL4lkHB2","1","2021-10-31","11:21:00","[]","[]"
"27","@UEUSC_Official","𝗙𝗼𝗿 𝗦𝗽𝗼𝗼𝗸𝘁𝗮𝗰𝘂𝗹𝗮𝗿 𝗧𝗶𝗸𝘁𝗼𝗸 𝗩𝗶𝗱𝗲𝗼: Garnering a perfect score, Ivy Mae Cabacungan won the first place with her horrifying story that definitely made our blood run cold! 🥶 Hands down! https://t.co/GvmMhPACd2","0","2021-10-31","11:21:52","[]","[]"
"26","@UEUSC_Official","Gathering 90% of total points, Jhanna Joyce Dizon hit the second spot with her horror-comedy story. The mixed vibes of the two genres made it chilly yet incredibly funny!","0","2021-10-31","11:22:12","[]","[]"
"25","@UEUSC_Official","𝗙𝗼𝗿 𝗪𝗮𝗿𝗿𝗶𝗼𝗿 𝗚𝗵𝗼𝘀𝘁𝗶𝗻𝗴 𝗦𝘁𝗼𝗿𝗶𝗲𝘀: Hitting the first place, Rafaela garnered 95% of total points! “I was Ghosted by his own Words” broke us into pieces. Being ghosted with promises could really  be more heartbreaking than being just purely ghosted. https://t.co/V0sf216ffy","0","2021-10-31","11:22:32","[]","[]"
"24","@UEUSC_Official","For the second placer, J gathered 80% of total points! His story serves as a lesson to everyone. Regret always comes at the end.","0","2021-10-31","11:23:19","[]","[]"
"23","@UEUSC_Official","Last but not the least, gathering 75% of total points, Emma succeeded as the third placer with her painful story. The plot twist at the end was truly shocking!","0","2021-10-31","11:23:26","[]","[]"
